"Gender" "Race" "Hisp" "Age" "Relate"
2 1 1 53 2
1 6 1 11 4
2 4 1 9 4
1 2 2 24 2
2 1 1 25 12
2 1 1 56 2
1 1 1 17 3
1 1 1 12 3
1 1 2 43 2
1 1 2 5 3
2 6 1 57 2
2 1 1 48 2
2 1 1 21 3
2 1 1 84 2
2 1 1 85 2
1 1 1 53 2
1 1 1 17 3
2 1 1 60 2
2 1 1 54 2
2 1 1 36 2
1 1 1 17 5
1 1 1 15 5
1 7 2 24 3
2 1 1 58 2
2 1 2 71 2
1 1 2 35 4
2 1 1 78 2
2 2 1 30 2
1 1 1 56 2
1 1 1 51 6
1 1 1 34 3
2 8 1 4 8
1 8 1 4 8
2 2 1 45 2
2 2 1 7 3
2 2 1 3 3
2 1 1 60 2
2 1 1 1 3
1 1 1 24 12
1 1 1 71 13
2 1 5 61 2
1 1 5 31 3
1 1 4 28 3
2 1 1 16 3
1 1 1 4 3
2 1 1 39 2
1 1 1 10 3
2 1 1 8 3
2 2 3 79 2
1 1 1 74 2
2 1 1 35 12
2 1 1 6 13
2 1 1 62 2
2 1 1 49 2
1 1 1 20 3
2 1 1 62 2
2 1 2 5 3
1 1 1 79 2
2 1 1 39 2
2 1 1 15 3
1 1 1 13 3
2 1 1 46 2
1 1 1 7 3
1 1 1 19 11
2 1 1 73 2
2 1 1 1 3
2 1 1 22 12
1 1 1 60 2
2 8 1 57 2
1 8 1 24 3
1 1 1 25 12
1 1 1 25 12
2 1 1 57 2
2 1 1 37 3
1 1 1 28 3
2 1 1 56 2
1 1 1 18 3
1 1 1 41 3
2 6 1 65 2
1 1 1 42 2
2 1 1 56 2
1 1 1 27 3
1 1 1 16 3
2 1 1 47 2
2 1 1 18 3
2 2 1 57 2
2 1 1 61 2
1 3 1 52 3
1 1 1 7 3
2 1 1 42 11
1 1 1 31 12
2 6 1 35 2
1 6 1 9 3
2 6 1 3 3
2 1 1 48 2
1 1 1 55 2
1 1 1 46 2
1 1 1 15 3
2 1 1 12 3
2 8 1 32 2
1 1 1 28 2
1 1 1 1 3
2 1 1 77 2
1 1 1 54 2
2 1 1 53 2
2 1 1 4 3
1 1 1 2 3
1 1 1 38 12
2 1 1 63 3
2 5 1 55 2
2 5 1 26 3
1 1 1 38 11
2 2 1 10 3
1 1 1 4 3
2 1 1 21 12
2 1 1 21 12
2 1 1 20 12
1 1 1 48 2
2 1 1 17 3
1 1 1 15 3
2 2 1 19 6
1 1 1 48 2
2 1 1 57 2
2 1 1 86 2
2 1 1 62 2
2 6 1 51 2
1 8 1 29 5
2 8 1 25 5
2 1 1 6 3
2 1 1 46 2
2 1 1 6 4
1 1 2 4 4
1 1 1 63 2
1 1 1 27 3
1 1 1 24 8
2 1 1 60 2
2 1 1 56 2
1 1 1 23 3
2 1 1 21 3
2 1 1 16 3
1 1 1 65 2
2 1 1 66 2
1 1 1 17 3
1 1 1 17 13
2 1 1 57 2
1 1 1 21 3
1 1 1 19 3
2 1 1 59 2
1 1 2 64 2
2 1 1 17 3
1 1 1 13 3
2 1 1 55 2
1 1 1 45 2
1 1 1 9 3
1 1 1 76 2
2 1 1 62 2
1 1 1 29 3
2 1 1 73 2
2 1 1 39 2
2 1 1 10 3
1 1 1 7 3
2 1 1 84 2
2 1 1 6 3
1 1 1 4 3
2 2 1 17 3
1 1 1 31 2
1 1 1 10 3
1 1 3 21 3
2 1 1 75 2
1 1 2 32 2
1 1 2 7 3
2 1 2 4 3
1 1 1 69 2
2 1 1 61 2
2 1 1 63 2
1 2 1 14 3
1 1 1 34 2
2 1 1 3 3
2 1 1 39 2
2 1 1 14 3
1 1 1 11 3
2 2 1 46 12
1 2 1 23 13
2 2 1 18 13
2 6 1 76 6
1 1 1 50 12
1 2 1 20 3
2 1 1 59 2
2 1 1 25 3
2 3 1 29 2
2 1 1 7 3
1 1 1 2 3
2 1 1 40 2
2 2 1 20 3
2 1 1 18 3
2 8 1 55 3
1 1 1 48 3
2 1 1 23 3
2 1 1 21 8
2 1 1 43 2
1 1 1 10 3
1 1 1 7 3
1 1 1 83 2
2 1 1 60 2
2 1 3 65 2
1 1 1 75 7
2 1 1 37 12
1 1 1 44 12
2 1 1 52 2
1 1 1 24 3
2 1 1 68 2
1 1 1 38 3
1 2 1 15 3
1 2 1 12 3
2 1 1 68 2
2 1 5 43 2
1 1 1 16 3
2 1 1 9 3
2 1 1 31 2
2 1 1 1 3
2 1 1 8 3
1 1 1 30 12
1 1 1 53 3
1 1 1 55 13
2 1 1 24 12
2 1 1 51 2
2 1 1 81 2
2 1 1 61 2
1 2 1 54 3
2 1 1 18 8
1 1 1 15 8
2 1 1 69 12
2 1 1 70 2
2 1 1 60 12
2 1 1 51 12
2 1 1 51 2
2 1 1 25 5
2 2 1 27 3
1 2 1 4 8
1 2 1 47 12
1 1 1 29 2
2 1 1 76 2
2 1 1 61 12
2 1 2 43 2
2 1 2 10 3
2 1 2 76 9
1 1 1 55 2
1 1 1 42 3
1 2 1 13 3
2 2 1 7 3
1 2 1 2 3
1 1 1 33 2
1 3 2 17 3
2 3 2 10 3
2 3 2 60 7
1 2 1 33 12
2 1 1 69 2
2 1 1 42 2
1 1 1 45 2
1 1 1 18 3
2 1 1 59 2
1 8 1 19 3
2 1 1 18 5
1 1 1 40 12
1 1 5 29 12
1 1 1 56 2
1 1 1 35 2
2 1 1 20 3
1 2 1 37 12
2 1 1 44 12
2 1 1 29 12
1 1 1 54 2
2 8 1 18 3
1 8 1 15 3
2 2 1 30 2
1 2 1 2 3
1 2 1 11 5
2 1 1 60 12
1 1 1 31 12
2 1 1 30 3
2 1 1 27 3
2 6 1 60 2
2 1 1 62 2
1 1 1 84 2
2 1 1 61 2
2 1 1 73 2
2 1 1 58 2
2 2 1 61 7
2 1 1 71 13
1 2 1 35 2
1 8 1 5 3
2 8 1 2 3
2 1 1 39 2
1 1 1 14 3
1 1 1 12 3
1 1 1 18 3
2 1 1 54 2
1 1 1 49 3
1 1 1 78 12
2 1 1 71 7
2 1 1 55 2
1 1 1 62 2
2 1 1 74 2
2 1 1 50 3
1 1 1 44 3
1 1 1 29 12
1 1 1 64 2
1 2 1 4 3
2 1 1 26 13
2 1 1 26 13
1 1 1 79 7
2 1 1 71 7
2 1 2 28 2
2 1 1 30 2
2 1 1 47 7
1 8 3 54 12
2 1 1 30 2
2 1 1 27 2
1 1 1 2 3
2 1 1 22 12
2 1 1 48 2
2 1 1 3 3
1 3 1 23 3
2 1 1 50 2
2 1 1 73 9
2 1 1 69 12
2 1 1 74 2
1 1 1 30 12
2 1 1 58 2
2 1 1 27 3
1 1 1 28 3
2 1 1 27 3
2 1 1 75 2
2 1 1 56 2
2 1 1 19 13
1 1 1 65 7
2 1 1 63 7
2 1 1 71 2
1 1 1 47 3
2 1 1 63 2
2 1 1 61 2
1 1 1 52 2
2 1 1 24 3
1 1 1 18 3
2 1 2 41 2
1 1 2 5 3
1 1 2 2 3
2 1 1 69 12
2 1 5 44 2
2 1 5 14 3
1 1 5 13 3
2 1 1 49 2
2 1 1 13 3
2 1 1 13 3
1 1 1 86 2
2 1 1 76 2
1 1 1 45 3
2 1 1 39 2
2 1 1 9 3
1 1 1 7 3
2 1 1 74 2
2 1 5 35 12
2 1 5 34 12
1 1 1 43 2
1 1 1 9 3
2 1 1 8 3
1 1 1 29 2
2 1 1 61 2
1 1 1 16 3
1 2 1 7 3
2 2 1 3 3
1 2 1 1 3
2 1 1 6 3
1 1 1 34 12
1 1 1 22 12
2 1 1 59 2
2 1 1 54 2
1 1 1 31 3
1 1 1 20 3
1 1 1 56 2
1 1 1 25 3
2 1 1 30 2
2 1 1 5 3
2 1 1 2 3
2 1 1 77 2
1 1 1 73 2
1 2 1 64 2
2 1 1 2 3
1 6 1 43 2
1 7 1 3 3
2 7 1 1 3
2 1 1 76 2
2 1 1 67 2
2 1 1 43 12
2 1 1 65 2
2 1 2 51 2
2 1 2 24 3
1 2 1 28 12
1 2 1 19 12
1 2 5 7 3
2 2 5 25 6
1 2 5 6 11
1 1 5 47 3
2 1 5 94 7
2 1 1 50 2
1 1 1 17 3
2 1 1 15 3
1 1 1 54 2
2 1 1 31 2
1 1 1 7 3
2 1 1 62 2
1 1 1 56 2
2 1 1 56 2
1 1 1 56 12
2 7 5 33 2
2 7 5 4 3
2 1 1 38 2
1 1 1 2 3
1 2 1 61 12
2 1 1 65 2
2 1 1 51 2
2 1 1 68 2
2 4 1 53 2
2 8 1 23 3
2 1 1 47 2
1 1 1 21 6
2 1 1 19 13
2 1 1 71 2
2 1 1 69 2
2 1 1 43 3
1 1 1 45 2
2 4 1 31 2
1 1 2 52 2
1 1 2 17 3
1 2 1 25 8
2 1 1 47 2
2 1 1 43 2
2 1 1 13 3
1 1 1 9 3
1 1 1 17 3
1 1 1 14 3
2 2 1 26 12
1 1 2 11 3
2 7 2 28 2
2 1 1 11 3
1 1 1 51 12
1 3 1 48 2
1 8 1 18 3
2 8 1 13 3
2 1 1 27 3
1 8 1 45 2
1 1 1 17 3
2 1 1 13 3
2 2 1 57 2
2 4 1 9 3
2 1 1 44 2
2 1 1 7 3
2 1 2 23 3
2 1 1 60 2
2 1 1 22 3
2 1 1 53 2
2 1 1 23 3
1 1 1 54 2
1 1 1 75 2
1 1 1 55 2
1 1 5 46 2
1 1 5 21 3
1 1 5 18 3
2 1 1 62 2
1 1 1 33 2
1 1 1 1 3
1 1 1 85 2
2 1 1 74 2
2 1 2 43 2
1 1 2 19 3
2 1 2 14 3
2 2 1 28 11
2 1 1 79 7
2 1 1 86 2
2 6 1 54 2
2 1 1 71 2
1 1 1 57 2
1 1 1 29 3
2 1 1 26 10
2 1 1 54 2
2 1 1 64 2
1 1 1 44 3
2 8 1 44 3
1 8 1 15 8
1 1 1 31 3
1 1 1 12 3
1 1 1 11 3
1 1 1 5 3
2 2 1 35 13
2 1 1 62 2
2 1 1 63 2
2 1 1 57 2
1 1 1 19 3
2 1 1 70 2
1 1 1 61 3
2 1 1 7 3
1 1 1 4 3
2 1 1 36 2
2 1 1 78 7
1 1 1 37 2
2 1 1 14 3
1 1 1 6 3
2 1 3 53 2
1 1 1 13 3
2 1 1 48 2
2 1 1 15 3
2 1 1 13 3
1 2 1 45 13
2 6 1 46 2
1 6 1 20 3
1 6 1 18 3
1 1 4 17 3
1 1 1 38 3
2 1 1 53 2
2 1 1 41 2
2 1 1 17 5
1 1 1 14 5
2 1 1 32 2
2 1 1 6 3
1 1 1 5 3
2 1 1 52 2
1 1 1 17 3
1 1 1 9 3
2 1 1 4 3
1 1 1 34 12
2 1 1 60 12
1 1 1 57 12
2 4 1 7 6
1 4 1 43 7
2 4 1 40 7
2 1 4 51 2
1 1 4 25 3
1 1 4 21 3
2 1 1 50 2
2 1 1 80 9
1 2 1 80 2
1 2 1 58 3
1 1 1 58 2
2 1 1 32 3
1 1 1 49 6
1 1 1 67 2
1 2 1 59 3
2 2 1 56 3
1 2 1 26 3
1 2 1 27 6
2 2 1 71 13
1 2 1 48 2
2 2 1 4 3
1 1 1 88 2
