"Gender" "Race" "Hisp" "Age" "Relate"
2 1 1 62 2
1 1 1 54 2
1 1 2 26 3
1 1 1 51 2
1 1 1 39 2
2 1 1 17 3
1 1 1 16 3
2 1 1 26 12
2 1 1 56 2
1 1 2 21 3
1 1 1 20 3
2 1 1 58 2
2 1 1 33 3
1 1 1 30 3
2 8 5 22 3
2 8 5 17 3
2 7 5 76 7
2 1 1 54 2
2 1 1 22 3
2 1 1 77 2
1 1 1 46 3
2 1 1 32 2
1 1 1 25 3
1 1 1 3 3
2 1 1 64 2
2 1 1 29 2
1 1 1 55 2
2 1 1 42 2
1 1 1 7 3
1 1 4 30 2
1 2 2 16 3
2 2 1 53 12
2 1 1 41 2
1 1 1 22 3
1 1 1 22 3
2 2 1 58 2
1 2 1 22 3
1 1 1 20 3
2 1 1 64 7
2 1 1 59 2
1 1 1 63 2
1 1 1 21 3
1 1 1 55 3
1 1 1 37 8
1 1 2 56 2
2 6 1 70 2
1 1 1 52 2
2 1 1 39 2
2 1 1 60 2
1 1 1 37 3
1 8 1 8 8
2 1 1 50 2
1 1 1 20 3
1 1 1 17 3
1 1 1 42 3
1 1 1 7 3
1 1 1 5 3
2 1 1 15 3
2 1 1 28 2
1 1 1 1 3
2 7 2 18 3
1 1 1 63 2
2 1 1 81 7
2 1 1 57 11
1 7 5 54 12
2 1 1 52 2
2 1 1 24 3
1 1 1 5 3
1 1 1 5 3
1 1 3 41 2
1 1 3 15 3
2 1 1 55 12
2 1 1 56 2
2 1 1 50 2
1 1 1 17 3
2 7 2 36 3
1 7 2 51 12
2 1 1 28 2
1 1 1 3 3
1 1 1 21 3
1 1 1 40 3
2 1 1 22 3
2 8 4 17 3
2 1 1 34 2
1 1 1 6 3
2 1 1 3 3
2 1 1 66 2
1 9 1 47 2
2 9 1 8 3
1 9 1 5 3
2 1 1 23 12
1 1 1 23 12
2 1 2 16 3
2 1 2 13 3
2 1 2 7 3
2 1 1 74 2
2 1 1 82 2
2 1 1 72 2
1 6 1 26 2
1 8 1 4 3
1 2 1 15 3
2 1 1 22 12
1 1 1 70 2
2 1 1 80 2
2 2 1 52 3
1 2 1 26 8
2 1 1 44 2
1 1 1 17 3
2 1 1 15 3
2 1 1 47 2
1 1 1 28 3
2 1 1 75 12
1 1 1 60 2
2 1 1 36 2
1 2 1 41 2
2 2 1 16 3
1 1 1 44 2
1 1 1 2 3
1 2 1 19 3
1 2 1 14 3
1 2 1 39 12
2 1 1 62 2
2 1 1 32 3
1 1 1 38 3
1 1 1 67 12
1 1 1 33 2
1 1 1 10 5
1 1 1 7 5
2 1 1 66 2
2 1 1 29 2
1 1 1 4 3
2 1 1 2 3
2 2 3 16 3
1 1 1 29 12
2 6 1 29 2
2 6 1 3 3
2 1 1 87 2
2 1 5 11 3
2 1 5 7 3
1 2 1 5 3
1 2 1 1 3
1 6 1 73 7
2 6 1 65 7
2 6 1 27 12
2 1 1 50 2
2 1 1 17 3
1 1 1 14 3
2 1 1 74 2
2 2 1 76 2
1 2 1 73 11
2 8 1 15 3
2 8 1 8 3
1 1 1 40 2
2 1 1 57 2
1 1 1 26 2
1 1 1 59 2
2 1 1 66 2
2 1 1 34 2
2 8 1 18 3
1 1 1 7 3
1 1 1 48 2
1 1 1 18 3
2 1 1 61 2
1 1 1 56 2
2 1 1 61 2
2 1 1 18 3
2 1 1 63 2
1 1 1 25 3
2 1 1 70 2
1 7 5 32 12
2 1 1 85 2
2 1 1 52 2
2 1 1 28 2
1 1 1 2 3
2 1 1 63 2
2 1 1 6 8
2 1 1 42 2
1 1 1 7 3
1 1 2 17 3
2 1 2 12 3
2 1 1 52 12
2 1 1 36 2
2 1 1 13 3
1 1 1 49 2
1 2 1 69 2
1 1 1 51 2
2 1 1 34 3
1 1 1 29 12
1 1 1 16 3
2 1 1 12 3
1 1 1 56 12
2 8 1 16 3
1 2 1 39 12
2 1 1 46 2
2 1 1 17 3
2 1 1 57 9
2 1 1 38 11
2 1 1 78 2
1 1 1 45 3
2 1 1 58 2
1 1 1 86 2
1 1 1 32 2
1 1 1 3 3
1 2 1 58 2
2 1 1 59 2
2 1 1 30 3
1 1 1 6 8
1 1 2 56 2
1 1 1 33 12
2 2 1 28 3
2 1 1 44 2
1 1 1 13 3
2 1 1 70 2
2 1 1 57 2
1 2 1 56 2
1 2 1 30 3
1 1 1 59 2
2 2 1 59 2
1 1 1 86 2
2 2 1 30 11
2 1 1 21 12
2 1 1 20 12
2 1 2 65 2
2 1 1 42 2
2 1 1 8 3
2 1 1 5 3
1 1 2 49 2
2 1 1 17 3
2 1 1 41 2
2 1 1 12 3
1 1 1 11 3
2 2 1 16 3
2 2 1 11 3
1 1 1 21 3
1 1 1 18 3
2 1 1 66 2
2 1 2 13 8
1 1 2 88 12
2 1 1 62 2
1 1 1 30 2
2 1 1 44 2
2 1 1 72 2
2 1 1 18 3
1 8 1 11 3
2 1 1 67 7
1 7 2 57 2
1 7 2 22 3
2 1 1 19 12
2 1 1 57 3
2 1 1 51 12
2 1 1 30 2
1 1 1 2 3
1 1 1 55 2
2 1 1 14 3
2 1 1 81 7
2 1 2 18 3
1 1 2 9 3
2 1 2 7 8
2 1 1 43 2
1 1 1 12 3
2 1 1 10 3
2 6 1 19 12
2 1 1 45 2
1 1 1 8 3
1 1 1 5 3
1 1 2 7 3
2 1 2 6 3
2 1 2 19 12
2 1 1 84 2
2 1 1 72 2
2 1 1 62 2
2 1 1 52 2
1 1 1 17 11
2 1 2 31 2
2 1 2 10 3
2 1 2 7 3
1 1 1 28 2
2 1 1 1 3
2 2 1 14 3
2 6 1 29 2
1 1 1 29 3
2 1 1 48 2
1 1 2 25 2
2 1 1 6 3
2 1 2 2 3
2 1 1 59 2
2 1 1 64 2
1 2 1 43 2
2 2 1 1 3
2 1 1 66 2
2 1 1 29 2
2 1 1 55 2
2 6 1 59 2
2 6 1 71 6
2 1 1 61 2
2 1 1 32 2
1 1 1 2 3
1 2 1 52 2
2 2 1 21 3
2 6 1 38 2
1 6 1 10 3
2 1 1 42 2
1 1 1 14 5
2 1 1 44 2
2 1 1 16 5
2 1 1 13 5
2 1 1 57 2
1 1 1 61 12
2 1 1 77 2
2 8 1 10 4
2 1 1 5 8
2 1 1 49 12
1 1 1 56 2
1 2 1 56 3
1 1 1 59 2
1 1 1 34 12
2 1 2 68 2
1 1 1 73 2
2 1 1 26 2
1 1 2 64 2
2 1 1 56 2
1 1 1 17 3
2 1 1 61 2
1 1 1 43 3
1 1 1 13 8
2 1 1 72 2
2 1 1 33 2
2 1 1 9 3
1 1 1 40 2
2 1 1 45 2
2 1 1 13 3
2 1 1 50 2
1 1 1 13 3
1 1 1 11 3
2 1 1 51 11
2 1 1 65 2
1 1 1 19 3
2 1 2 23 3
1 1 1 55 2
1 1 1 16 3
1 1 1 38 2
1 1 1 17 3
2 1 1 16 3
1 1 1 53 2
1 1 1 6 3
1 2 1 61 12
1 1 1 35 2
2 1 1 52 2
2 1 1 39 2
2 1 1 11 3
2 1 1 9 3
1 1 1 45 2
2 1 1 54 2
2 1 1 82 9
1 1 2 76 2
2 2 1 19 3
2 1 1 50 2
1 1 1 15 3
1 1 1 12 3
1 2 1 4 3
1 2 1 3 3
2 1 1 63 2
2 1 2 33 2
2 1 2 2 3
2 1 2 1 3
2 1 1 59 2
2 1 1 39 2
2 1 1 8 3
1 1 1 14 5
1 1 1 39 2
1 1 1 1 3
1 2 1 34 5
2 2 1 42 12
2 1 1 52 2
2 1 1 20 3
2 1 1 50 7
2 1 1 75 2
1 1 1 50 3
1 1 1 47 12
1 1 1 54 2
2 2 1 6 3
1 2 1 5 3
1 2 1 2 3
2 2 1 44 2
2 2 1 14 5
2 8 1 22 12
2 1 1 66 2
1 1 1 41 3
1 7 5 61 7
2 7 5 56 7
2 1 1 50 2
2 1 1 7 3
2 1 1 23 2
2 1 4 75 2
2 1 1 38 2
2 1 1 6 3
2 1 1 7 4
2 1 1 35 3
2 1 1 3 8
1 1 1 35 10
2 2 1 24 3
1 2 1 18 3
2 2 1 14 3
1 1 1 71 2
2 1 1 50 2
1 1 1 3 3
2 2 1 13 3
1 2 1 34 6
2 1 1 25 3
2 2 1 45 2
2 1 1 4 3
2 1 1 36 2
2 1 1 56 12
2 8 1 68 2
2 1 1 55 2
1 1 1 32 2
2 1 1 25 2
2 1 1 6 3
1 1 1 3 3
2 1 1 33 2
1 1 1 1 3
1 7 2 21 3
2 7 2 20 3
2 1 1 78 2
2 2 1 62 2
1 2 1 20 8
1 2 1 43 10
1 1 1 13 3
1 1 1 37 12
1 1 1 22 12
1 1 1 22 12
1 1 1 22 12
2 1 1 71 2
1 1 1 45 3
2 1 1 29 12
1 1 1 47 3
1 1 1 45 3
1 1 1 31 3
2 1 1 35 2
2 1 1 2 3
2 1 1 52 2
2 1 1 55 2
1 1 1 79 2
2 1 1 61 12
2 1 1 49 2
2 1 1 18 4
1 1 1 14 4
2 1 1 24 2
1 1 1 28 3
1 1 1 26 3
1 1 1 35 2
2 1 1 4 3
2 1 1 2 3
2 1 1 80 2
1 1 1 14 3
2 1 1 39 12
1 1 1 16 12
2 1 1 31 2
1 1 1 39 2
2 1 1 8 3
2 1 1 6 3
2 1 1 78 2
2 1 1 57 12
2 1 2 44 2
1 1 2 20 3
1 1 2 17 3
2 2 1 9 3
2 2 1 5 3
2 1 1 73 2
1 1 1 79 2
1 1 1 72 2
1 1 1 62 2
1 2 1 25 3
1 2 1 22 3
2 1 1 68 2
2 1 1 37 2
1 1 1 18 3
2 1 1 15 3
1 1 1 53 12
2 1 1 75 2
1 2 3 2 3
1 1 1 48 2
2 1 1 6 3
2 3 1 66 2
2 3 1 17 4
2 1 1 47 2
2 1 1 17 3
2 1 1 14 3
1 1 1 61 6
1 1 2 60 2
2 1 2 15 3
2 1 3 58 2
1 1 3 24 3
2 1 1 32 2
2 1 1 8 3
1 1 1 3 3
2 1 1 40 2
1 1 1 39 2
1 1 1 11 3
1 1 1 9 3
2 1 1 52 2
2 1 1 69 2
1 1 1 48 2
2 1 1 20 3
2 1 1 16 3
1 1 1 58 2
1 1 2 41 2
2 1 2 35 6
2 1 2 33 6
2 1 1 79 12
2 1 1 25 12
2 1 1 46 2
2 1 1 52 2
2 1 1 52 2
1 1 1 45 2
1 1 1 53 2
2 1 1 58 2
2 1 1 48 2
2 1 1 76 2
2 1 1 31 12
2 1 1 6 13
1 1 2 59 12
2 1 1 66 2
1 1 1 68 2
2 1 1 79 2
2 2 1 41 6
2 2 1 11 11
2 1 1 31 2
2 1 1 1 3
1 1 1 57 2
2 1 1 75 2
2 1 1 41 2
2 1 1 21 3
2 1 1 14 3
2 1 1 38 2
1 1 1 7 3
1 1 1 1 3
2 8 1 70 2
2 1 1 42 2
1 8 1 20 3
2 1 1 37 2
2 1 1 14 5
1 1 1 57 2
2 1 1 17 3
1 1 1 13 3
2 1 2 6 3
1 1 2 32 12
2 1 1 57 2
1 1 1 53 2
1 1 5 31 12
2 1 1 68 2
1 1 1 7 3
1 1 1 3 3
2 2 1 6 3
1 1 2 25 3
1 1 5 57 2
2 1 1 65 2
2 1 1 81 2
2 1 1 41 2
1 1 1 69 7
1 1 1 28 3
2 1 1 75 12
1 1 1 74 2
2 1 1 35 2
1 1 1 9 3
1 1 1 6 3
2 1 1 82 7
1 1 1 26 2
2 1 1 61 2
1 1 1 55 11
1 1 1 57 2
2 1 1 45 12
2 8 1 53 2
2 1 1 51 2
1 1 1 29 12
1 1 1 68 2
1 1 1 35 3
1 1 1 35 13
1 1 1 1 3
2 1 1 24 12
1 2 1 6 3
2 1 1 66 6
2 1 1 51 6
2 1 1 57 2
1 1 1 24 3
1 1 5 16 3
1 2 1 27 6
1 2 1 35 12
2 1 1 53 2
1 1 1 7 3
1 7 2 1 3
2 7 5 28 12
2 1 1 75 2
2 1 1 63 2
2 1 1 24 2
2 1 1 47 2
1 1 1 18 3
1 6 1 29 3
2 1 5 6 3
2 1 1 83 2
2 1 1 22 3
2 6 1 38 2
2 6 1 6 3
1 6 1 4 3
2 1 1 46 2
2 1 1 12 3
1 1 1 35 2
2 5 1 40 2
2 1 1 75 2
2 2 1 12 3
1 2 1 2 3
2 1 2 44 2
1 1 2 13 3
1 1 2 7 3
2 1 1 40 2
